County,HOUSING OCCUPANCY Total housing units,UNITS IN STRUCTURE Total housing units,"UNITS IN STRUCTURE 1-unit, detached","UNITS IN STRUCTURE 1-unit, attached",UNITS IN STRUCTURE 2 units,UNITS IN STRUCTURE 3 or 4 units,UNITS IN STRUCTURE 5 to 9 units,UNITS IN STRUCTURE 10 to 19 units,UNITS IN STRUCTURE 20 or more units,YEAR STRUCTURE BUILT Built 2020 or later,YEAR STRUCTURE BUILT Built 2010 to 2019,YEAR STRUCTURE BUILT Built 2000 to 2009,YEAR STRUCTURE BUILT Built 1990 to 1999,YEAR STRUCTURE BUILT Built 1980 to 1989,YEAR STRUCTURE BUILT Built 1970 to 1979,YEAR STRUCTURE BUILT Built 1960 to 1969,YEAR STRUCTURE BUILT Built 1950 to 1959,YEAR STRUCTURE BUILT Built 1940 to 1949,YEAR STRUCTURE BUILT Built 1939 or earlier,BEDROOMS Total housing units,BEDROOMS No bedroom,BEDROOMS 1 bedroom,BEDROOMS 2 bedrooms,BEDROOMS 3 bedrooms,BEDROOMS 4 bedrooms,BEDROOMS 5 or more bedrooms,HOUSING TENURE Occupied housing units,HOUSING TENURE Owner-occupied,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Occupied housing units,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2021 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2018 to 2020,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2017,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2000 to 2009,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 1990 to 1999,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 1989 and earlier,SELECTED CHARACTERISTICS Occupied housing units,VALUE Owner-occupied units (total num units),"VALUE (owner occupied) Less than $50,000","VALUE (owner occupied) $50,000 to $99,999","VALUE (owner occupied) $100,000 to $149,999","VALUE (owner occupied) $150,000 to $199,999","VALUE (owner occupied) $200,000 to $299,999","VALUE (owner occupied) $300,000 to $499,999","VALUE (owner occupied) $500,000 to $999,999","VALUE (owner occupied) $1,000,000 or more",VALUE (owner occupied) Median (dollars),MORTGAGE STATUS Owner-occupied units,MORTGAGE STATUS Housing units with a mortgage,MORTGAGE STATUS Housing units without a mortgage
McLennan,109561,109561,73943,3009,4645,4553,4504,5845,7472,3566,17197,13861,11918,12325,16414,10282,13625,5240,5133,109561,2314,13806,25962,45094,19063,3322,96965,62830,34135,96965,30737,17277,20021,12929,8987,7014,96965,62830,3635,4271,6215,7021,15854,16510,8411,913,264100,62830,33088,29742
Midland,73645,73645,45749,1416,1033,1774,3427,6086,9022,5545,15769,9175,6843,12255,7338,3970,9911,1209,1630,73645,2360,10867,14604,27856,15571,2387,70890,46554,24336,70890,26562,15101,12760,8232,4427,3808,70890,46554,2044,2262,3817,2946,10381,17440,6833,831,314500,46554,27295,19259
Montgomery,280341,280341,191219,7335,1819,4770,7845,13541,23461,29152,74439,67159,40954,32498,25595,6775,1633,570,1566,280341,5453,23128,42965,110692,79921,18182,262273,182061,80212,262273,86702,57342,58891,35910,14098,9330,262273,182061,6791,7571,6743,12469,33825,65136,41455,8071,359800,182061,114785,67276
Nacogdoches,29235,29235,16195,182,463,2034,1159,802,2911,494,3901,3324,4548,4634,5537,2725,1953,487,1632,29235,1684,2681,7699,12605,4176,390,25074,14418,10656,25074,9007,3610,5406,3779,1313,1959,25074,14418,2158,1706,1380,1913,3635,2445,911,270,201500,14418,5759,8659
Nueces,155871,155871,99825,2334,3101,8142,11463,7490,15529,3565,19125,20194,14116,27072,24842,17406,17244,8789,3518,155871,5022,17442,42822,63093,24513,2979,132759,78509,54250,132759,41349,24843,26006,15951,9911,14699,132759,78509,3768,11872,10116,10668,19620,14821,6644,1000,213500,78509,40058,38451
Orange,38185,38185,26366,447,1169,1157,404,1297,1100,1531,4423,5224,4558,5210,5189,5518,3390,776,2366,38185,1066,3201,9806,18988,3811,1313,33271,23964,9307,33271,9056,5229,6171,4944,3975,3896,33271,23964,2915,3260,3135,4200,5635,3808,664,347,180500,23964,10453,13511
Parker,61205,61205,46234,846,674,2472,954,780,1208,8240,14313,13338,8641,5322,5307,2461,1634,1102,847,61205,198,3917,9581,28403,17721,1385,57996,46526,11470,57996,16973,11644,14624,6985,4699,3071,57996,46526,2588,1482,1277,3149,6909,16377,13290,1454,383100,46526,27137,19389
Potter,49683,49683,34390,2886,1312,1169,1306,775,4001,470,2578,4086,2534,4510,3818,7954,10208,8547,4978,49683,1532,7026,15426,20803,3460,1436,42674,25303,17371,42674,13171,6866,9224,6010,3911,3492,42674,25303,2093,5569,5584,3619,4664,2538,1201,35,144800,25303,11111,14192
Randall,62194,62194,42214,1640,1047,892,2468,3121,5340,2120,10673,9107,6274,9213,10255,7278,4920,1332,1022,62194,2032,7430,9865,29600,11948,1319,56279,38800,17479,56279,15874,11470,13364,8491,3838,3242,56279,38800,2040,2290,3352,5994,11874,10257,2403,590,236900,38800,22181,16619
Rockwall,46264,46264,39764,899,0,808,509,557,2352,7028,10422,14144,5401,5945,2451,129,184,39,521,46264,814,1949,3798,18048,17555,4100,43259,34738,8521,43259,13154,10727,9368,6533,2678,799,43259,34738,831,625,474,514,4689,14957,11223,1425,429700,34738,23710,11028
